HouseholdID,Day,WaterUsage
0,1,50.0
0,2,50.0
0,3,50.0
0,4,50.0
0,5,50.0
0,6,50.0
0,7,50.0
0,8,50.0
0,9,50.0
0,10,50.0
0,11,50.0
0,12,50.0
0,13,50.0
0,14,50.0
0,15,50.0
0,16,50.0
0,17,50.0
0,18,50.0
0,19,59.935161809229484
0,20,50.0
0,21,50.0
0,22,50.0
0,23,50.0
0,24,50.0
0,25,50.0
0,26,50.0
0,27,50.0
0,28,50.0
0,29,50.0
0,30,50.0
1,1,50.0
1,2,50.0
1,3,50.0
1,4,50.0
1,5,50.0
1,6,50.0
1,7,50.0
1,8,50.0
1,9,50.0
1,10,50.0
1,11,50.0
1,12,50.0
1,13,50.0
1,14,50.0
1,15,50.0
1,16,50.0
1,17,50.0
1,18,50.0
1,19,50.0
1,20,50.0
1,21,50.0
1,22,50.0
1,23,50.0
1,24,50.0
1,25,50.0
1,26,50.0
1,27,50.0
1,28,50.0
1,29,50.0
1,30,50.0
2,1,50.0
2,2,50.0
2,3,50.0
2,4,50.0
2,5,50.0
2,6,50.0
2,7,50.0
2,8,50.0
2,9,79.74198685591409
2,10,50.0
2,11,50.0
2,12,50.0
2,13,50.0
2,14,50.0
2,15,50.0
2,16,50.0
2,17,50.0
2,18,50.0
2,19,50.0
2,20,50.0
2,21,50.0
2,22,50.0
2,23,50.0
2,24,50.0
2,25,50.0
2,26,50.0
2,27,50.0
2,28,50.0
2,29,50.0
2,30,50.0
3,1,50.0
3,2,50.0
3,3,50.0
3,4,50.0
3,5,50.0
3,6,50.0
3,7,50.0
3,8,50.0
3,9,50.0
3,10,50.0
3,11,50.0
3,12,50.0
3,13,50.0
3,14,50.0
3,15,50.0
3,16,50.0
3,17,50.0
3,18,50.0
3,19,50.0
3,20,55.365361494982494
3,21,50.0
3,22,50.0
3,23,50.0
3,24,50.0
3,25,50.0
3,26,50.0
3,27,50.0
3,28,50.0
3,29,50.0
3,30,50.0
4,1,50.0
4,2,50.0
4,3,50.0
4,4,50.0
4,5,50.0
4,6,50.0
4,7,50.0
4,8,50.0
4,9,50.0
4,10,50.0
4,11,50.0
4,12,50.0
4,13,50.0
4,14,50.0
4,15,50.0
4,16,50.0
4,17,50.0
4,18,50.0
4,19,50.0
4,20,50.0
4,21,50.0
4,22,62.118551432995595
4,23,50.0
4,24,50.0
4,25,50.0
4,26,50.0
4,27,50.0
4,28,50.0
4,29,50.0
4,30,50.0
5,1,50.0
5,2,50.0
5,3,50.0
5,4,50.0
5,5,50.0
5,6,50.0
5,7,50.0
5,8,50.0
5,9,50.0
5,10,50.0
5,11,50.0
5,12,50.0
5,13,50.0
5,14,50.0
5,15,50.0
5,16,50.0
5,17,50.0
5,18,50.0
5,19,50.0
5,20,50.0
5,21,50.0
5,22,50.0
5,23,50.0
5,24,50.0
5,25,50.0
5,26,60.244782981742866
5,27,50.0
5,28,50.0
5,29,50.0
5,30,50.0
6,1,50.0
6,2,50.0
6,3,50.0
6,4,50.0
6,5,50.0
6,6,50.0
6,7,50.0
6,8,50.0
6,9,50.0
6,10,50.0
6,11,50.0
6,12,50.0
6,13,50.0
6,14,50.0
6,15,50.0
6,16,50.0
6,17,50.0
6,18,50.0
6,19,50.0
6,20,50.0
6,21,50.0
6,22,50.0
6,23,50.0
6,24,50.0
6,25,50.0
6,26,50.0
6,27,50.0
6,28,50.0
6,29,50.0
6,30,50.0
7,1,50.0
7,2,50.0
7,3,50.0
7,4,50.0
7,5,50.0
7,6,50.0
7,7,59.25109802783118
7,8,50.0
7,9,50.0
7,10,50.0
7,11,50.0
7,12,50.0
7,13,50.0
7,14,50.0
7,15,50.0
7,16,50.0
7,17,50.0
7,18,50.0
7,19,50.0
7,20,50.0
7,21,55.836808480867525
7,22,50.0
7,23,50.0
7,24,50.0
7,25,50.0
7,26,50.0
7,27,50.0
7,28,50.0
7,29,50.0
7,30,50.0
8,1,50.0
8,2,50.0
8,3,50.0
8,4,50.0
8,5,50.0
8,6,50.0
8,7,50.0
8,8,50.0
8,9,50.0
8,10,50.0
8,11,50.0
8,12,50.0
8,13,50.0
8,14,50.0
8,15,50.0
8,16,50.0
8,17,50.0
8,18,50.0
8,19,50.0
8,20,50.0
8,21,50.0
8,22,50.0
8,23,50.0
8,24,50.0
8,25,50.0
8,26,56.04946801314915
8,27,50.0
8,28,50.0
8,29,50.0
8,30,50.0
9,1,50.0
9,2,50.0
9,3,50.0
